time [MJD]                x [AU]                    y [AU]                    z [AU]                   
48043.8592996065          -0.326513410419738        -0.960096446968331        -1.19409810430574e-05    
48044.3852255324          -0.317997070563315        -0.963023411274084        9.17074903775428e-06     
48044.9111514583          -0.309586141203993        -0.965852931386311        -6.71704497204472e-05    
48045.4370773843          -0.301126970521167        -0.968587754187678        1.72627552795592e-05     
48045.9630033102          -0.292547607543263        -0.971292752861858        -2.22559920867492e-05    
48046.4889292361          -0.284103589765082        -0.973879144876595        -5.21703814211649e-05    
48047.014855162           -0.275517574997757        -0.976401805317181        2.86469214340196e-05     
48047.5407811806          -0.266917166979073        -0.978872301306916        -5.26054874060718e-05    
48048.0667071065          -0.258407308486224        -0.981222862909725        -2.17159470782991e-05    
48048.5926330324          -0.249717338480156        -0.983531142015541        1.67088939430167e-05     
48049.1185589583          -0.241116972409383        -0.985758978730475        -6.73831488965695e-05    
48049.6444848843          -0.232508693101739        -0.987882357484099        9.6192598747742e-06      
48050.1704108102          -0.223758214992113        -0.989968442536977        -1.29854757565065e-05    
48050.6963367708          -0.215150464130217        -0.991951760645964        -5.95839879891885e-05    
48051.2222626968          -0.206429832582871        -0.993853763129494        2.65000157083403e-05     
48051.7481886227          -0.197665020855298        -0.995707962069392        -4.63457151123081e-05    
48052.2741145486          -0.189019776915686        -0.997450133828756        -3.30067658828683e-05    
48052.8000404745          -0.180201545544112        -0.999131583979289        2.03980712440571e-05     
48053.3259664005          -0.171451662973517        -1.00074605512907         -6.75540249725907e-05    
48053.8518923264          -0.162733021031054        -1.00225277076928         -7.04591921786256e-07    
48054.3778182523          -0.153856902965598        -1.00370993464344         -6.14353817776303e-06    
48054.9037441782          -0.145122784098672        -1.00508067407415         -6.66717282907673e-05    
48055.4296701042          -0.136309152729064        -1.00635690908785         2.11872447802569e-05     
48055.9555960301          -0.127423699107736        -1.00758361432837         -4.06285286749484e-05    
48056.481521956           -0.118679779125762        -1.00871037191088         -4.43449141962198e-05    
48057.007447882           -0.109777579233695        -1.00975857618981         2.15111208978814e-05     
48057.5333738079          -0.100919320679908        -1.01074859242172         -6.66004909254345e-05    
48058.0592997801          -0.0921285567170456       -1.01163346815203         -1.16641232957003e-05    
48058.585225706           -0.0831724795346851       -1.01245334191855         -2.91356409502417e-07    
48059.111151632           -0.0743509327590218       -1.01320184284198         -7.16547362468601e-05    
48059.6370775579          -0.0654856715608234       -1.0138477307919          1.50238160975229e-05     
48060.1630034838          -0.0565249908837387       -1.01443700686383         -3.38320595434337e-05    
48060.6889294097          -0.047720800371065        -1.01494091678113         -5.33839990758525e-05    
48061.2148553357          -0.0387795384790484       -1.01535063973431         2.23124264861814e-05     
48061.7407812616          -0.0298569982213659       -1.01570594527781         -6.27042378545536e-05    
48062.2667071875          -0.021034154576093        -1.01596382336131         -2.06784053766094e-05    
48062.7926330787          -0.0120458213856115       -1.01613990246091         6.49366430304053e-06     
48063.3185590046          -0.00317965205931742      -1.01625724245711         -7.26154135100949e-05    
48063.8444849306          0.00569375550977336       -1.01626940302471         1.03302243916845e-05     
48064.3704108565          0.0146806316903576        -1.016213907509           -2.4552802945234e-05     
48064.8963367824          0.0235025366107905        -1.01608893152703         -5.8398732903072e-05     
48065.4222627083          0.0324352549275408        -1.01585792046808         2.43300115949212e-05     
48065.9481886343          0.041373332896684         -1.01557179268776         -5.51604433515747e-05    
48066.4741145602          0.0501844503605902        -1.01520047178445         -2.66672361614178e-05    
48067.0000404861          0.0591542230301865        -1.01473127864221         1.45763250913009e-05     
48067.525966412           0.0680176736470547        -1.01421325984055         -6.97064780629219e-05    
48068.051892338           0.0768531028982372        -1.01359334540168         7.13702420205912e-06     
48068.5778182639          0.0858143303536239        -1.01289250095382         -1.37295639623947e-05    
48069.1037441898          0.0946083440253074        -1.01213845906041         -6.04364174654243e-05    
48069.6296701157          0.10348403178922          -1.01127131872897         2.63864679076959e-05     
48070.1555960417          0.112387277647902         -1.01034460000061         -4.60017960300961e-05    
48070.6815219676          0.121142290758296         -1.00934831523413         -3.13942964907674e-05    
48071.2074478935          0.130043711699952         -1.00824002778112         2.17469290128781e-05     
48071.7333737847          0.138857207402469         -1.00708954246976         -6.55395104594913e-05    
48072.2592997107          0.147610562812131         -1.00584541824771         3.27428625705081e-06     
48072.7852256366          0.156496684872344         -1.00450579028782         -4.15531378645865e-06    
48073.3111515625          0.165218991230459         -1.00312811085331         -6.20597032711243e-05    
48073.8370774884          0.173993006991461         -1.00163483466335         2.6240207097652e-05      
48074.3630034144          0.182813855731342         -1.00007400387562         -3.79821034414151e-05    
48074.8889293403          0.191471433418485         -0.998460881513948        -3.68903112578747e-05    
48075.4148552662          0.200259037166083         -0.99672403432933         2.59408020727191e-05     
48075.9407811921          0.208977953937196         -0.9949478183532          -6.23103986497079e-05    
48076.4667071181          0.217608813459714         -0.99308996310253         -2.64133265487992e-06    
48076.992633044           0.226374080998605         -0.99112153702099         2.53162603378134e-06     
48077.5185589699          0.234983212881605         -0.989128007722639        -6.46495997467652e-05    
48078.0444848958          0.243614510324991         -0.987020593366749        2.3091557873122e-05      
48078.5704108218          0.252308214747874         -0.984834746396562        -3.21078350711059e-05    
